,,
"assume that all exchange rates are static across purchase dates, quoted for GBP £1",,
,,
currency,rate,
THB,37.386304,
BIF,2242.924895,
NGN,439.534518,
LKR,214.801634,
CHF,1.194301,
XAG,0.073647,
AFN,95.131642,
HRK,8.019369,
NPR,134.552124,
PKR,193.329195,
SYP,626.684341,
GHS,6.597424,
MUR,43.770797,
XOF,717.994251,
TZS,2795.501451,
CNY,8.363803,
MKD,67.338457,
QAR,4.430617,
RUB,79.366277,
SAR,4.547367,
ETB,35.338251,
KRW,1472.024272,
FKP,1.000623,
JEP,0.99991,
SGD,1.669661,
EGP,20.102686,
OMR,0.468071,
STD,26212.61101,
FJD,2.651142,
IMP,0.999997,
VUV,141.287758,
KHR,4975.473197,
BAM,2.124826,
BOB,8.394889,
YER,303.513781,
LTL,3.585175,
LRD,246.661605,
AMD,578.652399,
CAD,1.60205,
BYN,2.482949,
IDR,17330.56952,
MNT,3228.826594,
DKK,8.170908,
TJS,11.434823,
ZMW,15.785662,
CVE,120.287016,
SDG,54.904262,
USD,1.215902,
ANG,2.168622,
BZD,2.450048,
GBP,1,
HNL,29.953522,
XCD,3.276455,
UYU,41.742347,
ERN,18.25278,
GTQ,9.324389,
LBP,1834.42231,
TTD,8.207229,
DZD,145.945142,
MRO,433.464774,
HTG,115.157669,
LSL,17.227202,
RON,5.136134,
SRD,9.055382,
XAU,0.000844,
BDT,102.73201,
AWG,2.188623,
TOP,2.800671,
MZN,74.480097,
KZT,469.997955,
PHP,63.429037,
KES,125.299124,
DOP,62.258885,
SCR,16.616737,
INR,84.025041,
TRY,6.760174,
BTC,0.000103,
NZD,1.859483,
NAD,17.959325,
BTN,83.792767,
TND,3.481083,
KPW,1093.744871,
MXN,23.47493,
KGS,84.854735,
CUP,32.246877,
ARS,55.088633,
WST,3.23092,
RWF,1109.3062,
CZK,27.958409,
ZAR,18.188766,
AOA,431.704395,
CDF,2025.445923,
PGK,4.121949,
MGA,4437.501246,
PAB,1.212547,
SBD,9.963645,
GIP,1.004432,
MDL,21.714571,
KYD,1.012372,
SOS,705.137004,
GMD,60.904308,
BHD,0.45799,
DJF,215.460134,
LAK,10553.56299,
