buyer_id,gender,membership_length,age_group
505,F,0.2,50-60
1989,F,0.8,60+
2234,F,0.4,50-60
2619,F,0.4,50-60
3392,F,2.3,50-60
4965,F,0.4,50-60
5622,F,0.6,30-40
6895,F,0.4,50-60
15625,F,0.4,18-30
16808,F,0.3,50-60
21845,F,0.1,60+
24112,M,0.4,30-40
26110,F,0.1,40-50
26302,F,1.4,18-30
26430,F,0.4,30-40
29903,M,0.3,50-60
31579,F,0.6,40-50
31803,F,0.3,30-40
32716,F,1,18-30
34623,F,0.8,50-60
34724,M,0.3,40-50
34786,F,0.3,60+
34896,M,0.8,18-30
38232,F,0.4,50-60
39668,F,3.4,40-50
40130,F,0.1,60+
41294,F,0.3,40-50
41529,F,0.3,40-50
41759,M,0.5,60+
42771,F,0.5,18-30
43467,F,0.2,18-30
47070,F,0.4,50-60
49956,F,0.2,30-40
50791,F,0.6,40-50
51514,F,1,30-40
51640,F,1.4,18-30
53178,M,0.3,40-50
53326,M,2.8,50-60
53471,M,0,50-60
53776,F,1.1,18-30
53842,F,0.7,30-40
53859,F,0.2,18-30
54203,F,0.7,30-40
55913,F,0.6,60+
56021,F,0.1,50-60
56105,F,0.1,60+
56154,F,0.3,60+
56594,F,0.2,40-50
56604,F,3.8,60+
56676,F,1.1,18-30
57316,F,0.2,50-60
57997,F,0.2,30-40
58310,M,0.5,60+
58419,F,1.4,30-40
59394,F,0.1,30-40
59413,F,0.3,60+
59486,F,0.2,40-50
59531,F,0,40-50
60161,F,0.4,30-40
60737,F,0.4,30-40
60768,F,1.7,30-40
60872,F,5.1,18-30
62534,F,3.4,40-50
62717,M,0.9,30-40
62829,F,0.1,50-60
62903,F,0.2,50-60
62904,F,0.1,50-60
62952,F,0.1,30-40
63162,F,0.3,30-40
63253,F,0.2,30-40
63541,F,0.1,40-50
63565,F,0.2,18-30
63658,F,0.1,60+
63735,F,0.2,50-60
63827,F,0,40-50
63879,F,0.1,60+
63892,F,0.4,30-40
64029,M,0.5,50-60
64099,F,0.1,30-40
64195,F,0.2,30-40
64246,F,0.3,18-30
64376,F,0,18-30
64592,F,0.2,30-40
64729,M,0,40-50
64796,F,0.3,60+
64906,F,0.1,30-40
64971,F,0.2,40-50
65007,M,0.1,30-40
65062,F,0.1,60+
65425,F,0.2,40-50
65485,F,0.1,40-50
65532,F,0.8,30-40
65600,F,0.3,30-40
65857,F,0.1,30-40
65949,F,0.5,30-40
65991,F,0.1,60+
66042,F,0.1,40-50
66096,F,0.2,30-40
66152,F,1.3,60+
66158,F,0.3,40-50
66251,F,0.2,30-40
66680,F,0,60+
66681,F,0.1,30-40
66713,M,0.4,40-50
66803,F,0.3,30-40
66827,M,0.6,30-40
66849,F,0.2,18-30
66896,F,0.1,40-50
66917,F,0.2,30-40
66974,F,0.5,50-60
67068,F,0.1,60+
67152,F,0.1,18-30
67242,F,0.1,60+
67257,F,0.1,18-30
67267,F,0.1,50-60
67301,F,0.2,30-40
67315,F,0.2,30-40
67363,F,0.8,50-60
67420,F,0.1,30-40
67533,F,0.2,30-40
67550,F,0.3,60+
67595,F,0.1,40-50
67728,M,0.6,30-40
67789,F,0.1,60+
67865,F,0.1,18-30
67897,F,0.1,30-40
67991,F,0.2,40-50
68011,F,0.1,50-60
68030,F,0.2,30-40
68056,F,0.3,50-60
68097,F,0.1,40-50
68369,F,0.2,18-30
68399,F,0.2,40-50
68480,F,0.1,30-40
